"log.lasso.cv.lambda.","lasso.cv.cvm","lasso.cv.cvsd"
-1.84996257163203,0.537308549150654,0.0314616498610821
-1.94299631267646,0.637476108199793,0.0539585252798047
-2.03603005372088,0.638797119060277,0.0561209782609647
-2.12906379476531,0.70351889825574,0.0574716321163391
-2.22209753580974,0.696326991721729,0.0618028759012424
-2.31513127685417,0.688195393787499,0.0652344621158004
-2.4081650178986,0.705886243386243,0.0693906196819306
-2.50119875894302,0.702470981747297,0.075729375995089
-2.59423249998745,0.711244968481811,0.0732912817122866
-2.68726624103188,0.714247265892003,0.0693731254385955
-2.78029998207631,0.715782037163616,0.067365158341795
-2.87333372312074,0.721153420166578,0.0664807528220258
-2.96636746416516,0.727612908533961,0.0659227648137387
-3.05940120520959,0.726084466216045,0.0654133548041095
-3.15243494625402,0.724261252879674,0.0613320445962804
-3.24546868729845,0.717328675223412,0.0615723155135506
-3.33850242834288,0.708794872281714,0.0634565682570885
-3.4315361693873,0.711997322852586,0.0610570955347778
-3.52456991043173,0.708794872281714,0.0634565682570885
-3.61760365147616,0.703863826232247,0.0647124000094483
-3.71063739252059,0.700461222500696,0.0663611950284516
-3.80367113356502,0.685141198956988,0.0651847650476905
-3.89670487460945,0.684560833902939,0.0670168653500973
-3.98973861565387,0.684567162856637,0.0646846244002037
-4.0827723566983,0.684567162856637,0.0646846244002037
-4.17580609774273,0.677327947393737,0.0651028291016143
-4.26883983878716,0.671183166248956,0.063108078631364
-4.36187357983159,0.664863705982127,0.0613398272729464
-4.45490732087601,0.649197172223488,0.065669569483193
-4.54794106192044,0.644206001113896,0.0642861336299419
-4.64097480296487,0.637546359585833,0.0652259622658135
-4.7340085440093,0.636017917267917,0.0647607571154827
-4.82704228505373,0.63744541277436,0.0634049493414464
-4.92007602609815,0.637245259613681,0.0634565574565409
-5.01310976714258,0.630858554213817,0.0633713637079022
-5.10614350818701,0.634261157945369,0.0615594144545663
-5.19917724923144,0.632253297384876,0.0648817071224698
-5.29221099027587,0.632526233513076,0.0635881405414762
-5.3852447313203,0.630557454241665,0.0622135474476243
-5.47827847236472,0.637023271562745,0.0588518517736711
-5.57131221340915,0.637229753677122,0.0565493319568561
-5.66434595445358,0.633186659831397,0.0574753790457581
-5.75737969549801,0.634787885116833,0.0567308252383393
-5.85041343654244,0.632546169717222,0.0567889737803671
-5.94344717758686,0.63053830915673,0.0601719702911239
-6.03648091863129,0.630097972203235,0.0592838113616739
-6.12951465967572,0.628503075871497,0.0579142601344397
-6.22254840072015,0.628503075871497,0.0579142601344397
-6.31558214176458,0.629904147996253,0.0577157808344637
-6.408615882809,0.628302922710818,0.0583054534558645
-6.50164962385343,0.628302922710818,0.0583054534558645
-6.59468336489786,0.628302922710818,0.0583054534558645
-6.68771710594229,0.628302922710818,0.0583054534558645
-6.78075084698672,0.624532764993291,0.0581675702242821
-6.87378458803115,0.623004322675375,0.0578600708220399
-6.96681832907557,0.62620044429255,0.0587131349484698
-7.05985207012,0.624599219007114,0.0592678794021625
-7.15288581116443,0.624599219007114,0.0592678794021625
-7.24591955220886,0.624599219007114,0.0592678794021625
-7.33895329325329,0.62612766132503,0.0595578802978374
-7.43198703429771,0.627728886610466,0.0589954922174236
-7.52502077534214,0.627728886610466,0.0589954922174236
-7.61805451638657,0.627728886610466,0.0589954922174236
-7.711088257431,0.627728886610466,0.0589954922174236
-7.80412199847543,0.627728886610466,0.0589954922174236
-7.89715573951985,0.629323782942204,0.0604002046448436
-7.99018948056428,0.629323782942204,0.0604002046448436
-8.08322322160871,0.629323782942204,0.0604002046448436
-8.17625696265314,0.627728886610466,0.0589954922174236
-8.26929070369757,0.627728886610466,0.0589954922174236
-8.362324444742,0.627728886610466,0.0589954922174236
-8.45535818578642,0.627728886610466,0.0589954922174236
-8.54839192683085,0.627728886610466,0.0589954922174236
-8.64142566787528,0.627728886610466,0.0589954922174236
-8.73445940891971,0.627728886610466,0.0589954922174236
